,0,1,2
abhorrent,1.9721e-07,æ0>a|b>b|h>h|ɔ1>o|r>rr|ɛ0>e|n>n|t>t,
abide,8.0858e-06,ʌ0>a|b>b|aɪ1>i|d>de,
abides,3.9443000000000007e-07,ʌ0>a|b>b|aɪ1>i|d>de|z>s,
abiding,2.3666e-06,ʌ0>a|b>b|aɪ1>i|d>d|ɪ0>i|ŋ>ng,
abilities,5.916399999999999e-07,ʌ0>a|b>b|ɪ1>i|l>l|ɪ0>i|t>t|i0>ie|z>s,
ability,4.5359e-06,ʌ0>a|b>b|ɪ1>i|l>l|ɪ0>i|t>t|i0>y,
abject,2.7610000000000003e-06,æ1>a|b>b|dʒ>j|ɛ0>e|k>c|t>t,
ablaze,2.7610000000000003e-06,ʌ0>a|b>b|l>l|eɪ1>a|z>ze,
able,0.00020293,eɪ1>a|b>b|ʌ0;l>le,
abler,3.9443000000000007e-07,eɪ1>a|b>b|l>l|ɝ0>er,
ablest,1.9721e-07,eɪ1>a|b>b|l>l|ɛ0>e|s>s|t>t,
ably,3.9443000000000007e-07,eɪ1>a|b>b|l>l|i0>y,
abner,5.522000000000001e-06,æ1>a|b>b|n>n|ɝ0>er,
abnormally,5.916399999999999e-07,æ0>a|b>b|n>n|ɔ1>o|r>r|m>m|ʌ0>a|l>ll|i0>y,
aboard,1.5777e-05,ʌ0>a|b>b|ɔ1>oa|r>r|d>d,
abode,1.0847e-05,ʌ0>a|b>b|oʊ1>o|d>de,
abolish,1.9721e-07,ʌ0>a|b>b|ɑ1>o|l>l|ɪ0>i|ʃ>sh,
abolished,9.860700000000002e-07,ʌ0>a|b>b|ɑ1>o|l>l|ɪ0>i|ʃ>sh|t>ed,
abolishing,1.9721e-07,ʌ0>a|b>b|ɑ1>o|l>l|ɪ0>i|ʃ>sh|ɪ0>i|ŋ>ng,
abolition,3.9443000000000007e-07,æ2>a|b>b|ʌ0>o|l>l|ɪ1>i|ʃ>ti|ʌ0>o|n>n,
abominable,7.2969e-06,ʌ0>a|b>b|ɑ1>o|m>m|ɪ0>i|n>n|ʌ0>a|b>b|ʌ0;l>le,
abomination,1.3805000000000002e-06,ʌ0>a|b>b|ɑ2>o|m>m|ɪ0>i|n>n|eɪ1>a|ʃ>ti|ʌ0>o|n>n,
aboriginal,1.9721e-06,æ2>a|b>b|ɝ0>or|ɪ1>i|dʒ>g|ɪ0>i|n>n|ʌ0>a|l>l,
aborigines,1.9721e-07,æ2>a|b>b|ɝ0>or|ɪ1>i|dʒ>g|ɪ0>i|n>n|i0>e|z>s,
abortive,3.9443000000000007e-07,ʌ0>a|b>b|ɔ1>o|r>r|t>t|ɪ0>i|v>ve,
abound,1.9721e-07,ʌ0>a|b>b|aʊ1>ou|n>n|d>d,
abounded,9.860700000000002e-07,ʌ0>a|b>b|aʊ1>ou|n>n|d>d|ɪ0>e|d>d,
abounding,1.9721e-07,ʌ0>a|b>b|aʊ1>ou|n>n|d>d|ɪ0>i|ŋ>ng,
abounds,3.9443000000000007e-07,ʌ0>a|b>b|aʊ1>ou|n>n|d>d|z>s,
about,0.0021306999999999997,ʌ0>a|b>b|aʊ1>ou|t>t,
above,0.00018755,ʌ0>a|b>b|ʌ1>o|v>ve,
abraham,1.8735e-05,eɪ1>a|b>b|r>r|ʌ0>a|h>h|æ2>a|m>m,
abrahams,1.9721e-07,eɪ1>a|b>b|r>r|ʌ0>a|h>h|æ2>a|m>m|z>s,
abram,1.9721e-07,ʌ0>a|b>b|r>r|æ1>a|m>m,
abreast,3.1554000000000003e-06,ʌ0>a|b>b|r>r|ɛ1>ea|s>s|t>t,
abroad,3.3329e-05,ʌ0>a|b>b|r>r|ɔ1>oa|d>d,
abrupt,2.9582e-06,ʌ0>a|b>b|r>r|ʌ1>u|p>p|t>t,
abruptly,2.3270999999999998e-05,ʌ0>a|b>b|r>r|ʌ1>u|p>p|t>t|l>l|i0>y,
abruptness,9.860700000000002e-07,ʌ0>a|b>b|r>r|ʌ1>u|p>p|t>t|n>n|ɛ0>e|s>ss,
absalom,1.9721e-07,æ1>a|b>b|s>s|ʌ0>a|l>l|ʌ0>o|m>m,
abscess,1.9721e-07,æ1>a|b>b|s>sc|ɛ2>e|s>ss,
absence,2.8991e-05,æ1>a|b>b|s>s|ɛ0>e|n>n|s>ce,
absences,9.860700000000002e-07,æ1>a|b>b|s>s|ɛ0>e|n>n|s>c|ɪ0>e|z>s,
absent,1.4594000000000001e-05,æ1>a|b>b|s>s|ɛ0>e|n>n|t>t,
absolute,6.1136e-06,æ1>a|b>b|s>s|ʌ0>o|l>l|u2>u|t>te,
absolutely,1.9524e-05,æ2>a|b>b|s>s|ʌ0>o|l>l|u1>u|t>te|l>l|i0>y,
absolve,1.9721e-07,æ0>a|b>b|z>s|ɑ1>o|l>l|v>ve,
absolved,1.9721e-07,æ0>a|b>b|z>s|ɑ1>o|l>l|v>ve|d>d,
absorb,1.1833e-06,ʌ0>a|b>b|z>s|ɔ1>o|r>r|b>b,
absorbed,2.4455e-05,ʌ0>a|b>b|z>s|ɔ1>o|r>r|b>b|d>ed,
absorbing,3.7470999999999997e-06,ʌ0>a|b>b|z>s|ɔ1>o|r>r|b>b|ɪ0>i|ŋ>ng,
absorbs,1.9721e-07,ʌ0>a|b>b|z>s|ɔ1>o|r>r|b>b|z>s,
absorption,3.9443000000000007e-07,ʌ0>a|b>b|s>s|ɔ1>o|r>r|p>p|ʃ>ti|ʌ0>o|n>n,
abstain,1.1833e-06,æ0>a|b>b|s>s|t>t|eɪ1>ai|n>n,
abstained,1.9721e-07,æ0>a|b>b|s>s|t>t|eɪ1>ai|n>n|d>ed,
abstaining,3.9443000000000007e-07,æ0>a|b>b|s>s|t>t|eɪ1>ai|n>n|ɪ0>i|ŋ>ng,
abstinence,3.9443000000000007e-07,æ1>a|b>b|s>s|t>t|ɪ0>i|n>n|ɛ0>e|n>n|s>ce,
abstract,1.7749000000000002e-06,æ1>a|b>b|s>s|t>t|r>r|æ2>a|k>c|t>t,
abstracted,4.7331e-06,æ1>a|b>b|s>s|t>t|r>r|æ2>a|k>c|t>t|ɪ0>e|d>d,
abstraction,1.7749000000000002e-06,æ0>a|b>b|s>s|t>t|r>r|æ1>a|k>c|ʃ>ti|ʌ0>o|n>n,
abstractions,1.9721e-07,æ0>a|b>b|s>s|t>t|r>r|æ1>a|k>c|ʃ>ti|ʌ0>o|n>n|z>s,
abstruse,3.9443000000000007e-07,ʌ0>a|b>b|s>s|t>t|r>r|u1>u|s>se,
absurd,2.1102e-05,ʌ0>a|b>b|s>s|ɝ1>ur|d>d,
absurdities,7.888600000000001e-07,ʌ0>a|b>b|s>s|ɝ1>ur|d>d|ɪ0>i|t>t|i0>ie|z>s,
absurdity,1.9721e-06,ʌ0>a|b>b|s>s|ɝ1>ur|d>d|ɪ0>i|t>t|i0>y,
absurdly,3.3526e-06,ʌ0>a|b>b|s>s|ɝ1>ur|d>d|l>l|i0>y,
abu,6.7053e-06,æ1>a|b>b|u0>u,
abundance,7.4941e-06,ʌ0>a|b>b|ʌ1>u|n>n|d>d|ʌ0>a|n>n|s>ce,
abundant,3.1554000000000003e-06,ʌ0>a|b>b|ʌ1>u|n>n|d>d|ʌ0>a|n>n|t>t,
abundantly,9.860700000000002e-07,ʌ0>a|b>b|ʌ1>u|n>n|d>d|ʌ0>a|n>n|t>t|l>l|i0>y,
abuse,5.9164e-06,ʌ0>a|b>b|j;u1>u|z>se,
abused,5.9164e-06,ʌ0>a|b>b|j;u1>u|z>se|d>d,
abuses,3.9443000000000007e-07,ʌ0>a|b>b|j;u1>u|s>s|ɪ0>e|z>s,
abusing,1.3805000000000002e-06,ʌ0>a|b>b|j;u1>u|z>s|ɪ0>i|ŋ>ng,
abusive,1.9721e-07,ʌ0>a|b>b|j;u1>u|s>s|ɪ0>i|v>ve,
abut,1.9721e-07,ʌ0>a|b>b|ʌ1>u|t>t,
abyss,2.1694e-06,ʌ0>a|b>b|ɪ1>y|s>ss,
acacia,2.5638e-06,ʌ0>a|k>c|eɪ1>a|ʃ>ci|ʌ0>a,
academies,1.9721e-07,ʌ0>a|k>c|æ1>a|d>d|ɛ0>e|m>m|i0>ie|z>s,
academy,9.4663e-06,ʌ0>a|k>c|æ1>a|d>d|ɛ0>e|m>m|i0>y,
acadia,1.9721e-07,ʌ0>a|k>c|eɪ1>a|d>d|i0>i|ʌ0>a,
accent,6.7053e-06,æ1>a|k;s>cc|ɛ2>e|n>n|t>t,
accents,6.1136e-06,æ1>a|k;s>cc|ɛ0>e|n>n|t>t|s>s,
accentuate,1.9721e-07,æ0>a|k;s>cc|ɛ1>e|n>n|tʃ>t|u0>u|eɪ0>a|t>te,
accentuated,1.9721e-07,æ0>a|k;s>cc|ɛ1>e|n>n|tʃ>t|u0>u|eɪ2>a|t>t|ɪ0>e|d>d,
accept,2.8202e-05,æ0>a|k;s>cc|ɛ1>e|p>p|t>t,
acceptable,1.3805000000000002e-06,æ0>a|k;s>cc|ɛ1>e|p>p|t>t|ʌ0>a|b>b|ʌ0;l>le,
acceptance,3.5499e-06,æ0>a|k;s>cc|ɛ1>e|p>p|t>t|ʌ0>a|n>n|s>ce,
acceptances,1.9721e-07,æ0>a|k;s>cc|ɛ1>e|p>p|t>t|ʌ0>a|n>n|s>c|ɪ0>e|z>s,
accepted,2.9582e-05,æ0>a|k;s>cc|ɛ1>e|p>p|t>t|ɪ0>e|d>d,
accepting,3.9443e-06,æ0>a|k;s>cc|ɛ1>e|p>p|t>t|ɪ0>i|ŋ>ng,
accepts,3.9443000000000007e-07,æ0>a|k;s>cc|ɛ1>e|p>p|t>t|s>s,
access,1.1833e-06,æ1>a|k;s>cc|ɛ2>e|s>ss,
accessible,1.9721e-07,æ0>a|k;s>cc|ɛ1>e|s>ss|ɪ0>i|b>b|ʌ0;l>le,
accessories,1.9721e-07,æ0>a|k;s>cc|ɛ1>e|s>ss|ɝ0>or|i0>ie|z>s,
accident,3.116e-05,æ1>a|k;s>cc|ɪ0>i|d>d|ɛ0>e|n>n|t>t,
accidental,2.3666e-06,æ2>a|k;s>cc|ɪ0>i|d>d|ɛ1>e|n>n|t>t|ʌ0>a|l>l,
accidentally,3.7470999999999997e-06,æ2>a|k;s>cc|ɪ0>i|d>d|ɛ1>e|n>n|t>t|ʌ0>a|l>ll|i0>y,
accidents,8.8747e-06,æ1>a|k;s>cc|ɪ0>i|d>d|ɛ0>e|n>n|t>t|s>s,
acclaimed,3.9443000000000007e-07,ʌ0>a|k>cc|l>l|eɪ1>ai|m>m|d>ed,
acclimated,1.9721e-07,æ1>a|k>cc|l>l|ɪ0>i|m>m|eɪ2>a|t>t|ɪ0>e|d>d,
accommodate,1.1833e-06,ʌ0>a|k>cc|ɑ1>o|m>mm|ʌ0>o|d>d|eɪ2>a|t>te,
accommodated,3.9443000000000007e-07,ʌ0>a|k>cc|ɑ1>o|m>mm|ʌ0>o|d>d|eɪ2>a|t>t|ɛ0>e|d>d,
accommodating,7.888600000000001e-07,ʌ0>a|k>cc|ɑ1>o|m>mm|ʌ0>o|d>d|eɪ2>a|t>t|ɪ0>i|ŋ>ng,
accommodation,2.1694e-06,ʌ0>a|k>cc|ɑ2>o|m>mm|ʌ0>o|d>d|eɪ1>a|ʃ>ti|ʌ0>o|n>n,
accommodations,7.888600000000001e-07,ʌ0>a|k>cc|ɑ2>o|m>mm|ʌ0>o|d>d|eɪ1>a|ʃ>ti|ʌ0>o|n>n|z>s,
accompanied,1.8538e-05,ʌ0>a|k>cc|ʌ1>o|m>m|p>p|ʌ0>a|n>n|i0>ie|d>d,
accompanies,1.9721e-07,ʌ0>a|k>cc|ʌ1>o|m>m|p>p|ʌ0>a|n>n|i0>ie|z>s,
accompaniment,1.7749000000000002e-06,ʌ0>a|k>cc|ʌ1>o|m>m|p>p|n>an|ɪ0>i|m>m|ɛ0>e|n>n|t>t,
accompaniments,3.9443000000000007e-07,ʌ0>a|k>cc|ʌ1>o|m>m|p>p|n>an|ɪ0>i|m>m|ɛ0>e|n>n|t>t|s>s,
accompanist,1.9721e-07,ʌ0>a|k>cc|ʌ1>o|m>m|p>p|ʌ0>a|n>n|ɪ0>i|s>s|t>t,
accompany,7.8886e-06,ʌ0>a|k>cc|ʌ1>o|m>m|p>p|ʌ0>a|n>n|i0>y,
accompanying,3.1554000000000003e-06,ʌ0>a|k>cc|ʌ1>o|m>m|p>p|ʌ0>a|n>n|i0>y|ɪ0>i|ŋ>ng,
accomplice,5.916399999999999e-07,ʌ0>a|k>cc|ɑ1>o|m>m|p>p|l>l|ɪ0>i|s>ce,
accomplices,3.9443000000000007e-07,ʌ0>a|k>cc|ɑ1>o|m>m|p>p|l>l|ɪ0>i|s>c|ɛ0>e|z>s,
accomplish,6.1136e-06,ʌ0>a|k>cc|ɑ1>o|m>m|p>p|l>l|ɪ0>i|ʃ>sh,
accomplished,1.696e-05,ʌ0>a|k>cc|ɑ1>o|m>m|p>p|l>l|ɪ0>i|ʃ>sh|t>ed,
accomplishes,1.9721e-07,ʌ0>a|k>cc|ɑ1>o|m>m|p>p|l>l|ɪ0>i|ʃ>sh|ɪ0>e|z>s,
accomplishing,3.9443000000000007e-07,ʌ0>a|k>cc|ɑ1>o|m>m|p>p|l>l|ɪ0>i|ʃ>sh|ɪ0>i|ŋ>ng,
accomplishment,4.1415e-06,ʌ0>a|k>cc|ɑ1>o|m>m|p>p|l>l|ɪ0>i|ʃ>sh|m>m|ɛ0>e|n>n|t>t,
accomplishments,6.7053e-06,ʌ0>a|k>cc|ɑ1>o|m>m|p>p|l>l|ɪ0>i|ʃ>sh|m>m|ɛ0>e|n>n|t>t|s>s,
accord,1.0452000000000001e-05,ʌ0>a|k>cc|ɔ1>o|r>r|d>d,
accordance,1.5777000000000002e-06,ʌ0>a|k>cc|ɔ1>o|r>r|d>d|ʌ0>a|n>n|s>ce,
accorded,1.5777000000000002e-06,ʌ0>a|k>cc|ɔ1>o|r>r|d>d|ɪ0>e|d>d,
according,2.8596e-05,ʌ0>a|k>cc|ɔ1>o|r>r|d>d|ɪ0>i|ŋ>ng,
accordingly,2.3074e-05,ʌ0>a|k>cc|ɔ1>o|r>r|d>d|ɪ0>i|ŋ>ng|l>l|i0>y,
accordion,1.9721e-07,ʌ0>a|k>cc|ɔ1>o|r>r|d>d|i0>i|ʌ0>o|n>n,
accords,1.9721e-07,ʌ0>a|k>cc|ɔ1>o|r>r|d>d|z>s,
accosted,9.860700000000002e-07,ʌ0>a|k>cc|ɑ1>o|s>s|t>t|ɛ0>e|d>d,
account,6.9419e-05,ʌ0>a|k>cc|aʊ1>ou|n>n|t>t,
accountable,7.888600000000001e-07,ʌ0>a|k>cc|aʊ1>ou|n>n|t>t|ʌ0>a|b>b|ʌ0;l>le,
accountant,3.9443000000000007e-07,ʌ0>a|k>cc|aʊ1>ou|n>n|t>t|ʌ0>a|n>n|t>t,
accounted,4.7331e-06,ʌ0>a|k>cc|aʊ1>ou|n>n|t>t|ɛ0>e|d>d,
accounting,1.7749000000000002e-06,ʌ0>a|k>cc|aʊ1>ou|n>n|t>t|ɪ0>i|ŋ>ng,
accounts,1.6369000000000002e-05,ʌ0>a|k>cc|aʊ1>ou|n>n|t>t|s>s,
accrued,1.9721e-07,ʌ0>a|k>cc|r>r|u1>ue|d>d,
accumulate,3.9443000000000007e-07,ʌ0>a|k>cc|j;u1>u|m>m|j;ʌ0>u|l>l|eɪ2>a|t>te,
accumulated,1.7749000000000002e-06,ʌ0>a|k>cc|j;u1>u|m>m|j;ʌ0>u|l>l|eɪ2>a|t>t|ɪ0>e|d>d,
accumulating,5.916399999999999e-07,ʌ0>a|k>cc|j;u1>u|m>m|j;ʌ0>u|l>l|eɪ2>a|t>t|ɪ0>i|ŋ>ng,
accumulation,3.9443000000000007e-07,ʌ0>a|k>cc|j;u2>u|m>m|j;ʌ0>u|l>l|eɪ1>a|ʃ>ti|ʌ0>o|n>n,
accuracy,2.7610000000000003e-06,æ1>a|k>cc|j;ɝ0>ur|ʌ0>a|s>c|i0>y,
accurate,1.9721e-06,æ1>a|k>cc|j;ɝ0>ur|ʌ0>a|t>te,
accurately,1.9721e-07,æ1>a|k>cc|j;ɝ0>ur|ʌ0>a|t>te|l>l|i0>y,
accusation,1.9721e-06,æ2>a|k>cc|j;u0>u|z>s|eɪ1>a|ʃ>ti|ʌ0>o|n>n,
accusations,9.860700000000002e-07,æ2>a|k>cc|j;u0>u|z>s|eɪ1>a|ʃ>ti|ʌ0>o|n>n|z>s,
accusatory,1.9721e-07,ʌ0>a|k>cc|j;u1>u|z>s|ʌ0>a|t>t|ɔ2>o|r>r|i0>y,
accuse,2.5638e-06,ʌ0>a|k>cc|j;u1>u|z>se,
accused,8.283e-06,ʌ0>a|k>cc|j;u1>u|z>se|d>d,
accuser,3.9443000000000007e-07,ʌ0>a|k>cc|j;u1>u|z>s|ɝ0>er,
accusers,1.9721e-07,ʌ0>a|k>cc|j;u1>u|z>s|ɝ0>er|z>s,
accuses,3.9443000000000007e-07,ʌ0>a|k>cc|j;u1>u|z>s|ɪ0>e|z>s,
accusing,1.5777000000000002e-06,ʌ0>a|k>cc|j;u1>u|z>s|ɪ0>i|ŋ>ng,
accusingly,3.9443000000000007e-07,ʌ0>a|k>cc|j;u1>u|z>s|ɪ0>i|ŋ>ng|l>l|i0>y,
accustom,1.9721e-07,ʌ0>a|k>cc|ʌ1>u|s>s|t>t|ʌ0>o|m>m,
accustomed,2.5835e-05,ʌ0>a|k>cc|ʌ1>u|s>s|t>t|ʌ0>o|m>m|d>ed,
ace,3.9443000000000007e-07,eɪ1>a|s>ce,
aces,1.9721e-07,eɪ1>a|s>c|ɪ0>e|z>s,
ache,2.0708000000000002e-05,eɪ1>a|k>che,
aches,6.5080999999999996e-06,eɪ1>a|k>che|s>s,
achieve,1.5777000000000002e-06,ʌ0>a|tʃ>ch|i1>ie|v>ve,
achieved,2.3666e-06,ʌ0>a|tʃ>ch|i1>ie|v>ve|d>d,
achievement,1.5777000000000002e-06,ʌ0>a|tʃ>ch|i1>ie|v>ve|m>m|ɛ0>e|n>n|t>t,
achievements,7.888600000000001e-07,ʌ0>a|tʃ>ch|i1>ie|v>ve|m>m|ɛ0>e|n>n|t>t|s>s,
achieving,1.9721e-07,ʌ0>a|tʃ>ch|i1>ie|v>v|ɪ0>i|ŋ>ng,
achilles,5.916399999999999e-07,ʌ0>a|k>ch|ɪ1>i|l>ll|i0>e|z>s,
aching,1.2622e-05,eɪ1>a|k>ch|ɪ0>i|ŋ>ng,
acid,1.9721e-07,æ1>a|s>c|ɪ0>i|d>d,
acidity,1.9721e-07,ʌ0>a|s>c|ɪ1>i|d>d|ɪ0>i|t>t|i0>y,
acids,3.9443000000000007e-07,æ1>a|s>c|ɪ0>i|d>d|z>s,
acorn,3.3526e-06,eɪ1>a|k>c|ɔ0>o|r>r|n>n,
acorns,9.4663e-06,eɪ1>a|k>c|ɔ0>o|r>r|n>n|z>s,
acoustic,1.9721e-07,ʌ0>a|k>c|u1>ou|s>s|t>t|ɪ0>i|k>c,
acquaint,9.860700000000002e-07,ʌ0>a|k>cq|w>u|eɪ1>ai|n>n|t>t,
acquaintance,2.2876999999999998e-05,ʌ0>a|k>cq|w>u|eɪ1>ai|n>n|t>t|ʌ0>a|n>n|s>ce,
acquaintances,3.5499e-06,ʌ0>a|k>cq|w>u|eɪ1>ai|n>n|t>t|ʌ0>a|n>n|s>c|ɪ0>e|z>s,
acquaintanceship,1.9721e-07,ʌ0>a|k>cq|w>u|eɪ1>ai|n>n|t>t|ʌ0>a|n>n|s>ce|ʃ>sh|ɪ0>i|p>p,
acquainted,2.6624e-05,ʌ0>a|k>cq|w>u|eɪ1>ai|n>n|t>t|ɪ0>e|d>d,
acquiesced,7.888600000000001e-07,æ2>a|k>cq|w>u|i0>i|ɛ1>e|s>sce|t>d,
acquiescence,5.916399999999999e-07,æ2>a|k>cq|w>u|i0>i|ɛ1>e|s>sc|ɛ0>e|n>n|s>ce,
acquire,6.1136e-06,ʌ0>a|k>cq|w>u|aɪ1>i|ɝ0>re,
acquired,1.0255e-05,ʌ0>a|k>cq|w>u|aɪ1>i|ɝ0>re|d>d,
acquires,9.860700000000002e-07,ʌ0>a|k>cq|w>u|aɪ1>i|ɝ0>re|z>s,
acquiring,1.7749000000000002e-06,ʌ0>a|k>cq|w>u|aɪ1>i|r>r|ɪ0>i|ŋ>ng,
acquit,1.9721e-07,ʌ0>a|k>cq|w>u|ɪ1>i|t>t,
acquittal,1.9721e-07,ʌ0>a|k>cq|w>u|ɪ1>i|t>tt|ʌ0>a|l>l,
acquitted,1.1833e-06,ʌ0>a|k>cq|w>u|ɪ1>i|t>tt|ɪ0>e|d>d,
acre,1.5777000000000002e-06,eɪ1>a|k>c|ɝ0>re,
acres,4.3387e-06,eɪ1>a|k>c|ɝ0>re|z>s,
acrid,1.9721e-07,æ1>a|k>c|r>r|ɪ0>i|d>d,
acrobatic,1.9721e-07,æ2>a|k>c|r>r|ʌ0>o|b>b|æ1>a|t>t|ɪ0>i|k>c,
acrobats,3.9443000000000007e-07,æ1>a|k>c|r>r|ʌ0>o|b>b|æ2>a|t>t|s>s,
across,0.00032678,ʌ0>a|k>c|r>r|ɔ1>o|s>ss,
act,4.812e-05,æ1>a|k>c|t>t,
acted,1.5382999999999998e-05,æ1>a|k>c|t>t|ɪ0>e|d>d,
actin,1.9721e-07,æ1>a|k>c|t>t|ɪ0>i|n>n,
acting,1.065e-05,æ1>a|k>c|t>t|ɪ0>i|ŋ>ng,
action,1.696e-05,æ1>a|k>c|ʃ>ti|ʌ0>o|n>n,
actionable,1.9721e-07,æ1>a|k>c|ʃ>ti|ʌ0>o|n>n|ʌ0>a|b>b|ʌ0;l>le,
actions,4.3387e-06,æ1>a|k>c|ʃ>ti|ʌ0>o|n>n|z>s,
active,1.6763e-05,æ1>a|k>c|t>t|ɪ0>i|v>ve,
actively,7.888600000000001e-07,æ1>a|k>c|t>t|ɪ0>i|v>ve|l>l|i0>y,
activities,3.9443000000000007e-07,æ0>a|k>c|t>t|ɪ1>i|v>v|ɪ0>i|t>t|i0>ie|z>s,
activity,3.3526e-06,æ0>a|k>c|t>t|ɪ1>i|v>v|ɪ0>i|t>t|i0>y,
acton,4.3387e-06,æ1>a|k>c|t>t|ʌ0>o|n>n,
actor,2.1694e-06,æ1>a|k>c|t>t|ɝ0>or,
actors,3.9443e-06,æ1>a|k>c|t>t|ɝ0>or|z>s,
actress,7.4941e-06,æ1>a|k>c|t>t|r>r|ɛ0>e|s>ss,
actresses,9.860700000000002e-07,æ1>a|k>c|t>t|r>r|ɛ0>e|s>ss|ɪ0>e|z>s,
acts,4.1415e-06,æ1>a|k>c|t>t|s>s,
actual,3.3526e-06,æ1>a|k>c|tʃ>t|u0>u|ʌ0>a|l>l,
actually,5.522e-05,æ1>a|k>c|tʃ>t|u0>u|ʌ0>a|l>ll|i0>y,
acute,1.5777000000000002e-06,ʌ0>a|k>c|j;u1>u|t>te,
acutely,2.3666e-06,ʌ0>a|k>c|j;u1>u|t>te|l>l|i0>y,
acuteness,7.888600000000001e-07,ʌ0>a|k>c|j;u1>u|t>te|n>n|ɛ0>e|s>ss,
ad,7.888600000000001e-07,æ1>a|d>d,
ada,8.283e-06,eɪ1>a|d>d|ʌ0>a,
adage,1.9721e-07,æ1>a|d>d|ʌ0>a|dʒ>ge,
adah,1.1833e-06,æ1>a|d>d|ɑ0>ah,
adair,1.1833e-06,ʌ0>a|d>d|ɛ1>ai|r>r,
adam,1.9919e-05,æ1>a|d>d|ʌ0>a|m>m,
adamant,5.916399999999999e-07,æ1>a|d>d|ʌ0>a|m>m|ʌ0>a|n>n|t>t,
adams,5.719199999999999e-06,æ1>a|d>d|ʌ0>a|m>m|z>s,
adapt,9.860700000000002e-07,ʌ0>a|d>d|æ1>a|p>p|t>t,
adaptability,1.9721e-07,ʌ0>a|d>d|æ2>a|p>p|t>t|ʌ0>a|b>b|ɪ1>i|l>l|ɪ0>i|t>t|i0>y,
