ak æ>a|k>k
obsimfest ɑ>o|b>b|s>s|ɪ>i|m>m|f>f|ɛ>e|s>s|t>t
obsorfelm(0) oʊ>o|b>b|s>s|ɝ>or|f>f|ɛ>e|l>l|m>m
obsorfelm(1) ɑ>o|b>b|s>s|ɝ>or|f>f|ɛ>e|l>l|m>m
obsorfelm(2) oʊ>o|b>b|s>s|ɝ>or|f>f|ɛ>e|l>l|m>m
obsorfelm(3) ɑ>o|b>b|s>s|ɝ>or|f>f|ɛ>e|l>l|m>m
om ɑ>o|m>m
ot ɑ>o|t>t
pas p>p|æ>a|s>s
pate p>p|eɪ>a|t>te
pelnador(0) p>p|ɛ>e|l>l|n>n|æ>a|d>d|ɝ>or
pelnador(1) p>p|ɛ>e|l>l|n>n|ɛ>a|d>d|ɝ>or
pelnador(2) p>p|ɛ>e|l>l|n>n|ɪ>a|d>d|ɝ>or
peth p>p|ɛ>e|θ>th
phen f>ph|ɛ>e|n>n
phet f>ph|ɛ>e|t>t
pi(0) p>p|aɪ>i
pi(1) p>p|ɪ>i
pif p>p|ɪ>i|f>f
pim p>p|ɪ>i|m>m
pitocrant(0) p>p|aɪ>i|t>t|oʊ>o|k>c|r>r|æ>a|n>n|t>t
pitocrant(1) p>p|aɪ>i|t>t|ɑ>o|k>c|r>r|æ>a|n>n|t>t
pitocrant(2) p>p|aɪ>i|t>t|ɔ>o|k>c|r>r|æ>a|n>n|t>t
pitocrant(3) p>p|ɪ>i|t>t|oʊ>o|k>c|r>r|æ>a|n>n|t>t
pitocrant(4) p>p|ɪ>i|t>t|ɑ>o|k>c|r>r|æ>a|n>n|t>t
pitocrant(5) p>p|ɪ>i|t>t|ɔ>o|k>c|r>r|æ>a|n>n|t>t
plact p>p|l>l|æ>a|k>c|t>t
plee p>p|l>l|i>ee
plifant(0) p>p|l>l|aɪ>i|f>f|æ>a|n>n|t>t
plifant(1) p>p|l>l|ɪ>i|f>f|æ>a|n>n|t>t
plifant(2) p>p|l>l|aɪ>i|f>f|ʌ>a|n>n|t>t
plifant(3) p>p|l>l|ɪ>i|f>f|ʌ>a|n>n|t>t
plin p>p|l>l|ɪ>i|n>n
plinders p>p|l>l|ɪ>i|n>n|d>d|ɝ>er|s>s
plirt p>p|l>l|ɝ>ir|t>t
plofent(0) p>p|l>l|oʊ>o|f>f|ɛ>e|n>n|t>t
plofent(1) p>p|l>l|ɑ>o|f>f|ɛ>e|n>n|t>t
plork p>p|l>l|ɝ>or|k>k
pog p>p|ɑ>o|g>g
pom p>p|ɑ>o|m>m
poth p>p|ɑ>o|θ>th
prain p>p|r>r|eɪ>ai|n>n
prait p>p|r>r|eɪ>ai|t>t
preem p>p|r>re|i>e|m>m
pridus(0) p>p|r>r|aɪ>i|d>d|ʌ>u|s>s
pridus(1) p>p|r>r|ɪ>i|d>d|ʌ>u|s>s
prilingdorfent(0) p>p|r>r|aɪ>i|l>l|ɪ>i|ŋ>ng|d>d|ɝ>or|f>f|ɛ>e|n>n|t>t
prilingdorfent(1) p>p|r>r|ɪ>i|l>l|ɪ>i|ŋ>ng|d>d|ɝ>or|f>f|ɛ>e|n>n|t>t
prisk p>p|r>r|ɪ>i|s>s|k>k
progus(0) p>p|r>r|ɑ>o|g>g|ʌ>u|s>s
progus(1) p>p|r>r|oʊ>o|g>g|ʌ>u|s>s
prot p>p|r>r|ɑ>o|t>t
pu(0) p>p|ʌ>u
pu(1) p>p|j;u>u
pu(2) p>p|ʊ>u
purlunkist p>p|ɝ>ur|l>l|ʌ>u|n>n|k>k|ɪ>i|s>s|t>t
ral r>r|æ>a|l>l
revignuf(0) r>r|i>e|v>v|ɪ>i|g>g|n>n|ʌ>u|f>f
revignuf(2) r>r|ɛ>e|v>v|ɪ>i|g>g|n>n|ʌ>u|f>f
ritluf r>r|ɪ>i|t>t|l>l|ʌ>u|f>f
ritlun r>r|ɪ>i|t>t|l>l|ʌ>u|n>n
runk r>r|ʌ>u|ŋ>n|k>k
sade s>s|ɛ>a|d>de
sal s>s|æ>a|l>l
serm s>s|ɝ>er|m>m
shlee ʃ>sh|l>l|i>ee
shrattec ʃ>sh|r>r|æ>a|t>tt|ɛ>e|k>c
shrufted ʃ>sh|r>r|ʌ>u|f>f|t>t|ɛ>e|d>d
shuddy ʃ>sh|ʌ>u|d>dd|i>y
shum ʃ>sh|ʌ>u|m>m
skad s>s|k>k|æ>a|d>d
skaf s>s|k>k|æ>a|f>f
skree s>s|k>k|r>re|i>e
slife s>s|l>l|aɪ>i|f>fe
sline s>s|l>l|aɪ>i|n>ne
slinperk s>s|l>l|ɪ>i|n>n|p>p|ɝ>er|k>k
slunbort s>s|l>l|ʌ>u|n>n|b>b|ɝ>or|t>t
smingrot s>s|m>m|ɪ>i|n>n|g>g|r>r|ɑ>o|t>t
smucrit(0) s>s|m>m|ʌ>u|k>c|r>r|ɪ>i|t>t
smucrit(1) s>s|m>m|j;ʊ>u|k>c|r>r|ɪ>i|t>t
soast s>s|oʊ>oa|s>s|t>t
splooch(0) s>s|p>p|l>l|u>oo|tʃ>ch
splooch(1) s>s|p>p|l>l|ʊ>oo|tʃ>ch
sploosh(0) s>s|p>p|l>l|u>oo|ʃ>sh
sploosh(1) s>s|p>p|l>l|ʊ>oo|ʃ>sh
sprotmobon(0) s>s|p>p|r>r|ɑ>o|t>t|m>m|ɔ>o|b>b|ɑ>o|n>n
sprotmobon(1) s>s|p>p|r>r|ɔ>o|t>t|m>m|ɔ>o|b>b|ɑ>o|n>n
sprotmobon(2) s>s|p>p|r>r|ɑ>o|t>t|m>m|ɑ>o|b>b|ɑ>o|n>n
sprotmobon(3) s>s|p>p|r>r|ɔ>o|t>t|m>m|ɑ>o|b>b|ɑ>o|n>n
stip s>s|t>t|ɪ>i|p>p
stral s>s|t>t|r>r|æ>a|l>l
strale s>s|t>t|r>r|eɪ>a|l>le
strame s>s|t>t|r>r|ɛ>a|m>me
stree s>s|t>t|r>re|i>e
stremfick s>s|t>t|r>r|ɛ>e|m>m|f>f|ɪ>i|k>ck
strilmolifant(0) s>s|t>t|r>r|ɪ>i|l>l|m>m|oʊ>o|l>l|ɪ>i|f>f|æ>a|n>n|t>t
strilmolifant(1) s>s|t>t|r>r|ɪ>i|l>l|m>m|ɑ>o|l>l|ɪ>i|f>f|æ>a|n>n|t>t
strine s>s|t>t|r>r|aɪ>i|n>ne
stritlork s>s|t>t|r>r|ɪ>i|t>t|l>l|ɝ>or|k>k
strone s>s|t>t|r>r|oʊ>o|n>ne
strotalanted(0) s>s|t>t|r>r|oʊ>o|t>t|ʌ>a|l>l|æ>a|n>n|t>t|ɛ>e|d>d
strotalanted(1) s>s|t>t|r>r|ɑ>o|t>t|ʌ>a|l>l|æ>a|n>n|t>t|ɛ>e|d>d
strotalanted(2) s>s|t>t|r>r|oʊ>o|t>t|ɪ>a|l>l|æ>a|n>n|t>t|ɛ>e|d>d
strotalanted(3) s>s|t>t|r>r|ɑ>o|t>t|ɪ>a|l>l|æ>a|n>n|t>t|ɛ>e|d>d
strotalanted(4) s>s|t>t|r>r|oʊ>o|t>t|æ>a|l>l|æ>a|n>n|t>t|ɛ>e|d>d
strotalanted(5) s>s|t>t|r>r|ɑ>o|t>t|æ>a|l>l|æ>a|n>n|t>t|ɛ>e|d>d
stup s>s|t>t|ʌ>u|p>p
supken(0) s>s|ʌ>u|p>p|k>k|ɛ>e|n>n
supken(1) s>s|ʌ>u|p>p|k>k|ʌ>e|n>n
supken(2) s>s|ʌ>u|p>p|k>k|ɪ>e|n>n
ta(0) t>t|ɑ>a
ta(1) t>t|æ>a
ta(2) t>t|ɛ>a
tat t>t|æ>a|t>t
teap t>t|i>ea|p>p
tegwop t>t|ɛ>e|g>g|w>w|ɑ>o|p>p
terl t>t|ɝ>er|l>l
throbe θ>th|r>r|oʊ>o|b>be
throfe θ>th|r>r|ɔ>o|f>fe
thundelp θ>th|ʌ>u|n>n|d>d|ɛ>e|l>l|p>p
tifpote t>t|ɪ>i|f>f|p>p|oʊ>o|t>te
tildabalt(0) t>t|ɪ>i|l>l|d>d|æ>a|b>b|ɑ>a|l>l|t>t
tildabalt(1) t>t|ɪ>i|l>l|d>d|ɪ>a|b>b|ɑ>a|l>l|t>t
tildabalt(2) t>t|ɪ>i|l>l|d>d|ʌ>a|b>b|ɑ>a|l>l|t>t
tive t>t|aɪ>i|v>ve
torlingfen t>t|ɝ>or|l>l|i>i|ŋ>ng|f>f|ɛ>e|n>n
trinbort t>t|r>r|ɪ>i|n>n|b>b|ɝ>or|t>t
trisk t>t|r>r|ɪ>i|s>s|k>k
trober t>t|r>r|oʊ>o|b>b|ɝ>er
trubot(0) t>t|r>r|u>u|b>b|ɑ>o|t>t
trubot(1) t>t|r>r|ʌ>u|b>b|ɑ>o|t>t
um ʌ>u|m>m
umligorlok(0) ʌ>u|m>m|l>l|ɪ>i|g>g|ɝ>or|l>l|ɑ>o|k>k
umligorlok(1) ʌ>u|m>m|l>l|aɪ>i|g>g|ɝ>or|l>l|ɑ>o|k>k
varm v>v|ɑ>a|ɝ>r|m>m
vasp v>v|æ>a|s>s|p>p
visp v>v|ɪ>i|s>s|p>p
vuntilorst(1) v>v|ʌ>u|n>n|t>t|ɪ>i|l>l|ɝ>or|s>s|t>t
weaf w>w|i>ea|f>f
wim w>w|ɪ>i|m>m
wogger w>w|ɑ>o|g>gg|ɝ>er
wultlac w>w|ʌ>u|l>l|t>t|l>l|æ>a|k>c
wum w>w|ʌ>u|m>m
zerk z>z|ɝ>er|k>k
zi(0) z>z|ɪ>i
zi(1) z>z|aɪ>i
zich z>z|ɪ>i|tʃ>ch
zint z>z|ɪ>i|n>n|t>t
